epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.1013,1.4244,2.95304,1.49557,0.03133,0.87037,0.17975,0.08429,1.13365,2.87476,1.23612,4e-05,4e-05,4e-05
2,62.8511,1.21784,2.76823,1.34054,0.03233,0.89815,0.39471,0.23988,0.93854,2.7668,1.11488,9.802e-05,9.802e-05,9.802e-05
3,102.235,1.19385,2.48802,1.33968,0.03233,0.89815,0.43097,0.27143,0.95682,2.68108,1.09756,0.000153664,0.000153664,0.000153664
4,150.784,1.0781,2.0032,1.24251,0.08472,0.7037,0.47543,0.29134,0.97609,2.5617,1.10205,0.000206932,0.000206932,0.000206932
5,180.104,1.11691,1.75278,1.21708,0.88447,0.28361,0.5639,0.37384,1.04017,2.39927,1.09974,0.000257824,0.000257824,0.000257824
6,198.586,1.07388,1.53966,1.21923,0.83573,0.32407,0.52643,0.33952,1.19932,2.36571,1.21933,0.00030634,0.00030634,0.00030634
7,238.633,1.07676,1.50604,1.20973,0.82593,0.39543,0.54993,0.32308,1.24618,2.31913,1.28025,0.00035248,0.00035248,0.00035248
8,275.695,0.89505,1.13456,1.10822,0.77274,0.44081,0.5525,0.34015,1.20946,2.29437,1.23957,0.000396244,0.000396244,0.000396244
9,301.289,1.02793,1.2323,1.19519,0.74398,0.45746,0.55399,0.35472,1.08084,2.25502,1.17997,0.000437632,0.000437632,0.000437632
10,332.347,1.00872,1.20365,1.17393,0.72626,0.46678,0.5354,0.34007,1.12662,2.26771,1.23141,0.000476644,0.000476644,0.000476644
11,356.652,0.99911,1.14442,1.17535,0.7548,0.37037,0.52553,0.30393,1.22008,2.38411,1.25664,0.00051328,0.00051328,0.00051328
12,376.519,0.91308,1.13458,1.12005,0.78303,0.36111,0.52169,0.28093,1.24663,2.41192,1.24678,0.00054754,0.00054754,0.00054754
13,394.419,0.91624,1.1412,1.13387,0.63371,0.39815,0.49848,0.24906,1.19338,2.22587,1.20426,0.000579424,0.000579424,0.000579424
14,412.393,0.93469,1.07826,1.17014,0.519,0.5,0.50876,0.27382,1.1892,2.1214,1.19395,0.000608932,0.000608932,0.000608932
15,428.842,0.92303,1.11098,1.12407,0.47899,0.45969,0.50062,0.29261,1.20309,2.01377,1.17345,0.000636064,0.000636064,0.000636064
16,454.307,0.86448,1.04443,1.10754,0.45759,0.41667,0.45434,0.28404,1.13897,1.96677,1.13166,0.00066082,0.00066082,0.00066082
17,473.953,0.74452,0.90534,1.00867,0.73924,0.31481,0.4635,0.29372,1.14784,2.00271,1.17403,0.0006832,0.0006832,0.0006832
18,506.392,0.83277,0.94412,1.06842,0.52933,0.5,0.52014,0.33719,1.15689,1.84203,1.19871,0.000703204,0.000703204,0.000703204
19,533.616,0.83531,0.90073,1.06654,0.67159,0.55556,0.61402,0.41263,1.12077,1.71854,1.18682,0.000720832,0.000720832,0.000720832
20,553.409,0.86699,1.01707,1.12418,0.71072,0.59148,0.6725,0.4376,1.13888,1.68174,1.18215,0.000736084,0.000736084,0.000736084
21,576.415,0.93013,0.96989,1.16116,0.69904,0.59259,0.69399,0.42384,1.20825,1.78129,1.20333,0.00074896,0.00074896,0.00074896
22,593.369,0.8928,1.00875,1.08241,0.6619,0.58333,0.65979,0.41595,1.20478,1.80072,1.19415,0.00075946,0.00075946,0.00075946
23,607.752,0.89173,1.07636,1.12992,0.59963,0.55556,0.63016,0.40217,1.19922,1.76332,1.18256,0.000767584,0.000767584,0.000767584
24,623.209,0.83883,1.00225,1.08949,0.61632,0.55556,0.61448,0.39507,1.1783,1.80457,1.17923,0.000773332,0.000773332,0.000773332
